id,name,segment,balance
1,"Customer#000000001",BUILDING,711.56
2,"Customer#000000002",AUTOMOBILE,121.65
3,"Customer#000000003",AUTOMOBILE,7498.12
4,"Customer#000000004",MACHINERY,2866.83
5,"Customer#000000005",HOUSEHOLD,794.47
6,"Customer#000000006",AUTOMOBILE,7638.57
7,"Customer#000000007",AUTOMOBILE,9561.95
8,"Customer#000000008",BUILDING,6819.74
9,"Customer#000000009",FURNITURE,8324.07
10,"Customer#000000010",HOUSEHOLD,2753.54
11,"Customer#000000011",BUILDING,-272.6
12,"Customer#000000012",HOUSEHOLD,3396.49
13,"Customer#000000013",BUILDING,3857.34
14,"Customer#000000014",FURNITURE,5266.3
15,"Customer#000000015",HOUSEHOLD,2788.52
16,"Customer#000000016",FURNITURE,4681.03
17,"Customer#000000017",AUTOMOBILE,6.34
18,"Customer#000000018",BUILDING,5494.43
19,"Customer#000000019",HOUSEHOLD,8914.71
20,"Customer#000000020",FURNITURE,7603.4
21,"Customer#000000021",MACHINERY,1428.25
22,"Customer#000000022",MACHINERY,591.98
23,"Customer#000000023",HOUSEHOLD,3332.02
24,"Customer#000000024",MACHINERY,9255.67
25,"Customer#000000025",FURNITURE,7133.7
26,"Customer#000000026",AUTOMOBILE,5182.05
27,"Customer#000000027",BUILDING,5679.84
28,"Customer#000000028",FURNITURE,1007.18
29,"Customer#000000029",FURNITURE,7618.27
30,"Customer#000000030",BUILDING,9321.01
31,"Customer#000000031",HOUSEHOLD,5236.89
32,"Customer#000000032",BUILDING,3471.53
33,"Customer#000000033",AUTOMOBILE,-78.56
34,"Customer#000000034",HOUSEHOLD,8589.7
35,"Customer#000000035",HOUSEHOLD,1228.24
36,"Customer#000000036",BUILDING,4987.27
37,"Customer#000000037",FURNITURE,-917.75
38,"Customer#000000038",HOUSEHOLD,6345.11
39,"Customer#000000039",AUTOMOBILE,6264.31
40,"Customer#000000040",BUILDING,1335.3
41,"Customer#000000041",HOUSEHOLD,270.95
42,"Customer#000000042",BUILDING,8727.01
43,"Customer#000000043",MACHINERY,9904.28
44,"Customer#000000044",AUTOMOBILE,7315.94
45,"Customer#000000045",AUTOMOBILE,9983.38
46,"Customer#000000046",AUTOMOBILE,5744.59
47,"Customer#000000047",BUILDING,274.58
48,"Customer#000000048",BUILDING,3792.5
49,"Customer#000000049",FURNITURE,4573.94
50,"Customer#000000050",MACHINERY,4266.13
51,"Customer#000000051",FURNITURE,855.87
52,"Customer#000000052",HOUSEHOLD,5630.28
53,"Customer#000000053",HOUSEHOLD,4113.64
